id,vote_average
208385,8.0
74505,5.1
375170,5.3
5503,7.2
82575,5.0
159092,4.9
54093,6.3
22301,6.1
23802,7.5
270007,5.9
149,7.8
72032,4.8
8779,8.0
26525,6.7
28916,6.8
14558,5.3
62106,0.0
10606,6.1
82432,5.4
21798,5.3
85766,6.9
25434,7.5
45935,7.5
405,7.5
85822,8.0
4982,7.4
39013,6.8
60730,5.7
124298,0.0
43645,6.6
50291,5.5
334146,0.0
52485,5.7
43544,6.1
61202,7.6
51617,6.6
2079,6.1
43860,4.8
330007,6.8
31439,7.7
60813,5.9
366631,6.3
191566,5.6
252714,0.0
10601,6.9
332543,6.0
7549,7.3
127756,5.5
139380,5.2
10083,6.9
41292,7.3
124504,5.0
97735,5.3
167112,5.0
279229,6.9
75138,7.0
174337,6.1
136582,5.5
346093,5.0
2097,3.9
40264,4.2
45418,5.7
190605,10.0
10699,6.3
93743,5.4
30080,5.4
65707,7.6
185574,7.7
245589,3.0
124091,6.9
13573,6.5
109520,5.5
44445,7.9
250029,5.0
66720,7.4
255552,5.0
52239,5.6
23807,4.5
4961,5.7
130322,6.5
276635,7.5
17590,6.7
80767,7.8
250312,7.3
354216,6.4
407887,5.5
135890,5.7
14387,7.3
19828,3.0
169448,8.0
18116,4.9
28276,7.2
35688,6.1
40102,4.4
12273,5.3
70192,3.5
8202,5.4
24130,6.1
149117,5.9
81586,0.0
59882,4.8
33541,6.7
23704,7.0
30428,0.0
33370,6.8
103751,7.3
3133,7.5
15436,5.5
278632,5.0
15018,6.5
22819,4.4
18495,6.1
63615,0.0
116857,6.3
30363,6.2
174675,5.9
165567,5.5
161143,5.9
25385,5.8
70322,3.2
85052,5.0
67967,6.6
315868,6.7
65075,8.0
56366,5.9
10741,6.4
77716,4.3
101501,4.0
15661,5.5
173914,0.0
16618,6.7
39806,4.8
53861,4.5
10452,7.0
18242,7.1
430250,4.8
31995,5.6
5060,7.0
76891,6.7
139854,0.0
15865,6.3
47957,5.7
129277,6.6
34759,7.6
61803,3.0
41023,4.6
400387,5.9
213985,6.1
49622,2.0
399417,6.7
249164,7.3
18462,6.1
12721,5.6
97707,7.0
44114,5.6
42468,6.1
409366,5.1
41188,6.0
223946,5.2
578,7.5
73546,5.7
35638,5.9
187219,5.0
42678,6.0
20916,5.0
7351,7.2
53950,5.5
17466,5.4
187771,0.0
35458,5.2
36329,5.6
3699,6.3
189277,5.7
115929,7.9
104338,6.9
211528,5.9
28275,0.0
34778,6.7
11945,6.2
117316,0.0
29381,6.7
32610,6.5
21982,5.9
391566,0.0
137746,0.0
11891,6.0
50560,4.1
9885,6.1
74922,5.4
159412,7.0
32015,8.0
24625,5.2
55069,4.0
88583,5.0
242332,6.0
51962,6.0
191476,7.8
156360,0.0
14787,6.4
391617,6.3
39060,7.6
40641,7.3
797,8.0
70527,7.8
83761,6.9
52038,6.5
10734,7.3
29162,4.3
75848,5.3
1969,5.8
197033,6.5
44625,5.1
24804,7.3
22711,5.9
10729,6.3
37258,6.9
57918,5.7
260163,5.1
20802,6.8
79927,4.2
150230,5.3
4285,6.8
138535,7.0
60773,6.4
87561,7.7
14337,6.9
343934,5.7
13722,4.3
95134,5.3
30885,4.6
75579,6.4
9532,6.4
195757,6.5
433630,6.1
242224,6.5
170309,9.0
78094,6.5
28319,5.4
1496,4.7
169836,0.0
144114,6.5
14546,4.3
59440,7.7
84002,5.9
64,7.5
23834,5.6
271736,6.1
30060,8.0
16049,5.5
176407,5.2
28698,4.8
103689,5.8
188507,4.6
21721,6.6
822,7.7
345915,5.2
32742,8.0
28324,4.8
30839,6.0
22614,7.1
19152,5.2
15173,6.4
62130,7.0
42158,6.0
17813,5.0
417820,8.9
42039,7.0
45610,6.4
91552,5.0
83728,6.3
42470,5.4
22728,6.0
127142,5.4
199056,4.6
637,8.3
347754,4.5
33641,4.7
49633,5.6
84905,5.4
159281,7.0
15080,7.0
148431,0.0
91911,5.5
64264,3.6
143336,6.0
37022,5.2
138093,6.3
45397,5.9
24801,4.9
28585,3.9
9613,6.4
375355,5.7
27998,6.5
21250,4.6
3576,0.0
13123,6.7
4244,6.0
42551,6.3
98554,9.0
105287,4.4
92572,7.6
53033,0.0
64108,4.9
94790,0.0
41186,5.5
24828,2.7
34857,6.8
7453,6.6
63706,2.9
54662,5.8
87415,5.0
25838,7.7
55971,5.6
83415,4.7
306406,0.0
10544,6.1
22215,5.9
128671,5.5
107976,6.1
5481,6.4
224303,6.2
126862,5.5
84972,6.5
61656,5.0
10486,5.1
33546,6.5
51679,4.9
118758,7.0
9478,4.5
37925,4.8
190817,6.2
335498,0.0
156388,0.0
1927,5.3
14269,6.4
54768,5.2
35007,6.8
15511,5.9
257614,7.1
24034,5.5
37534,5.2
49418,6.5
36709,6.7
18631,5.9
2019,6.1
7301,6.4
286545,0.0
81831,5.5
8908,5.8
14239,4.9
26617,7.2
63787,4.0
21335,6.4
53064,7.3
46971,4.0
